Zip Code ZCTA,State,City,2010 Census Population,Latitude,Longitude
1379,MA,Wendell,813,42.55,-72.4
1420,MA,Fitchburg,40337,42.58,-71.81
1430,MA,Ashburnham,6089,42.63,-71.9
1431,MA,Ashby,3074,42.68,-71.81
1432,MA,Ayer,7089,42.56,-71.58
1434,MA,Devens,1795,42.53,-71.61
1436,MA,Baldwinville,3336,42.6,-72.07
1438,MA,East Templeton,559,42.53,-72.05
1440,MA,Gardner,20347,42.58,-71.98
1450,MA,Groton,10646,42.6,-71.57
1451,MA,Harvard,4747,42.5,-71.58
1452,MA,Hubbardston,4382,42.48,-72.01
1453,MA,Leominster,40883,42.51,-71.77
1460,MA,Littleton,8924,42.53,-71.47
1462,MA,Lunenburg,10086,42.59,-71.72
1463,MA,Pepperell,11497,42.66,-71.58
1464,MA,Shirley,7211,42.54,-71.65
1467,MA,Still River,316,42.49,-71.61
1468,MA,Templeton,4021,42.55,-72.06
1469,MA,Townsend,6801,42.66,-71.7
1473,MA,Westminster,7277,42.55,-71.9
1474,MA,West Townsend,2125,42.66,-71.74
1475,MA,Winchendon,10270,42.68,-72.04
1501,MA,Auburn,16075,42.2,-71.83
1503,MA,Berlin,2866,42.38,-71.63
1504,MA,Blackstone,9026,42.01,-71.5
1505,MA,Boylston,4355,42.35,-71.73
1506,MA,Brookfield,3390,42.21,-72.1
1507,MA,Charlton,12981,42.13,-71.96
1510,MA,Clinton,13606,42.41,-71.68
1515,MA,East Brookfield,2183,42.22,-72.04
1516,MA,Douglas,8500,42.05,-71.73
1518,MA,Fiskdale,2974,42.12,-72.11
1519,MA,Grafton,6595,42.2,-71.68
1520,MA,Holden,13997,42.35,-71.85
1521,MA,Holland,2481,42.05,-72.15
1522,MA,Jefferson,3310,42.38,-71.87
1523,MA,Lancaster,7582,42.45,-71.66
1524,MA,Leicester,6696,42.25,-71.9
1525,MA,Linwood,290,42.05,-71.64
1527,MA,Millbury,13246,42.19,-71.76
1529,MA,Millville,3190,42.03,-71.58
1531,MA,New Braintree,999,42.31,-72.13
1532,MA,Northborough,14155,42.31,-71.64
1534,MA,Northbridge,5631,42.15,-71.65
1535,MA,North Brookfield,4680,42.27,-72.08
1536,MA,North Grafton,6888,42.23,-71.69
1537,MA,North Oxford,2248,42.16,-71.88
1540,MA,Oxford,11291,42.11,-71.87
1541,MA,Princeton,3413,42.45,-71.86
1542,MA,Rochdale,2202,42.2,-71.9
1543,MA,Rutland,7973,42.36,-71.95
1545,MA,Shrewsbury,35299,42.3,-71.71
1550,MA,Southbridge,16719,42.08,-72.03
1560,MA,South Grafton,4527,42.17,-71.68
1561,MA,South Lancaster,330,42.43,-71.69
1562,MA,Spencer,11688,42.24,-71.99
1564,MA,Sterling,7808,42.43,-71.75
1566,MA,Sturbridge,6294,42.09,-72.06
1568,MA,Upton,7480,42.17,-71.61
1569,MA,Uxbridge,13569,42.08,-71.6
1570,MA,Webster,16767,42.04,-71.87
1571,MA,Dudley,11390,42.05,-71.93
1581,MA,Westborough,18272,42.26,-71.61
1583,MA,West Boylston,7591,42.36,-71.78
1585,MA,West Brookfield,4554,42.23,-72.14
1588,MA,Whitinsville,9733,42.11,-71.67
1590,MA,Sutton,8875,42.15,-71.76
1602,MA,Worcester,22819,42.26,-71.8
1603,MA,Worcester,19916,42.26,-71.8
1604,MA,Worcester,34677,42.26,-71.8
1605,MA,Worcester,26221,42.26,-71.8
1606,MA,Worcester,19077,42.26,-71.8
1607,MA,Worcester,8351,42.26,-71.8
1608,MA,Worcester,3888,42.26,-71.8
1609,MA,Worcester,22421,42.26,-71.8
1610,MA,Worcester,23945,42.26,-71.8
1611,MA,Cherry Valley,2242,42.23,-71.87
1612,MA,Paxton,4845,42.31,-71.93
1701,MA,Framingham,31217,42.3,-71.43
1702,MA,Framingham,37206,42.3,-71.43
1718,MA,Village Of Nagog Woods,469,42.51,-71.41
1719,MA,Boxborough,4996,42.5,-71.5
1720,MA,Acton,21361,42.48,-71.46
1721,MA,Ashland,16593,42.25,-71.46
1730,MA,Bedford,13221,42.48,-71.26
1731,MA,Hanscom Afb,1396,42.46,-71.28
1740,MA,Bolton,4897,42.43,-71.6
1741,MA,Carlisle,4852,42.53,-71.35
1742,MA,Concord,17726,42.45,-71.35
1745,MA,Fayville,397,42.29,-71.5
1746,MA,Holliston,13547,42.2,-71.43
1747,MA,Hopedale,5911,42.12,-71.54
1748,MA,Hopkinton,14925,42.22,-71.52
1749,MA,Hudson,19063,42.39,-71.56
1752,MA,Marlborough,38499,42.34,-71.54
1754,MA,Maynard,10106,42.42,-71.45
1756,MA,Mendon,5839,42.1,-71.55
1757,MA,Milford,28061,42.14,-71.51
1760,MA,Natick,32786,42.28,-71.35
1770,MA,Sherborn,4119,42.23,-71.36
1772,MA,Southborough,9370,42.3,-71.51
1773,MA,Lincoln,5112,42.41,-71.3
1775,MA,Stow,6590,42.43,-71.5
1776,MA,Sudbury,17659,42.36,-71.4
1778,MA,Wayland,13109,42.36,-71.36
1801,MA,Woburn,38903,42.48,-71.15
1803,MA,Burlington,24487,42.5,-71.2
1810,MA,Andover,33201,42.65,-71.14
1821,MA,Billerica,30310,42.55,-71.26
1824,MA,Chelmsford,24911,42.59,-71.36
1826,MA,Dracut,29422,42.66,-71.3
1827,MA,Dunstable,3179,42.66,-71.48
1830,MA,Haverhill,25137,42.78,-71.08
